mean_reward,std_reward,crash_count,mean_sim_time,Model_types,Hdv_intervals,Lane_counts
1539.618325,0.0,0.0,203.0,SmartPL,2,2
1695.768508,0.0,0.0,187.0,CoOP,2,2
1439.918325,0.0,0.0,203.0,Plexe,2,2
1547.624209,0.416438069,0.0,202.0,SmartPL,2,3
1604.800189,0.0,0.0,197.0,CoOP,2,3
1451.588164,2.34751691,0.0,202.0,Plexe,2,3
1775.734089,0.1,0.0,176.0,SmartPL,2,4
1735.951297,33.31801603,0.0,181.0,CoOP,2,4
1459.845994,0.0,0.0,201.0,Plexe,2,4
1740.672622,0.053346645,0.0,180.0,SmartPL,3,2
1543.685626,0.0,0.0,202.0,CoOP,3,2
1439.918325,0.0,0.0,203.0,Plexe,3,2
1721.17517,0.1,0.0,183.0,SmartPL,3,3
853.2042223,876.456966,0.5,183.0,CoOP,3,3
1453.362772,0.0,0.0,202.0,Plexe,3,3
1741.126225,0.054998401,0.0,179.0,SmartPL,3,4
1702.60797,0.025310843,0.0,185.0,CoOP,3,4
1463.400309,0.003080952,0.0,201.0,Plexe,3,4
1670.675901,0.05,0.0,190.0,SmartPL,4,2
1543.685626,0.0,0.0,202.0,CoOP,4,2
1439.918325,0.0,0.0,203.0,Plexe,4,2
1794.176912,0.05,0.0,175.0,SmartPL,4,3
1667.230689,62.43049979,0.0,190.0,CoOP,4,3
1451.588164,2.34751691,0.0,202.0,Plexe,4,3
1911.885365,0.0,0.0,159.0,SmartPL,4,4
1665.301298,103.9680151,0.0,188.5,CoOP,4,4
1463.397228,0.0,0.0,201.0,Plexe,4,4
1385.8877080465263,0.0,0.0,0.0,NoisyNet-MADQN,2,2
1195.5825683170926,0.0,0.0,0.0,NoisyNet-MADQN,3,2
1451.9688926578049,0.0,0.0,0.0,NoisyNet-MADQN,4,2
1486.9679746779432,0.0,0.0,0.0,NoisyNet-MADQN,2,3
1375.013841896053,0.0,0.0,0.0,NoisyNet-MADQN,3,3
1360.3622835145377,0.0,0.0,0.0,NoisyNet-MADQN,4,3
1422.7461430437088,0.0,0.0,0.0,NoisyNet-MADQN,2,4
1488.6711257489862,0.0,0.0,0.0,NoisyNet-MADQN,3,4
1488.707286736432,0.0,0.0,0.0,NoisyNet-MADQN,4,4
